KAI8038692.1	ac36289d14e745608a6b20908a034bf1	82	Pfam	PF06477	Protein of unknown function (DUF1091)	5	40	3.3E-6	T	16-11-2022	IPR010512	Protein of unknown function DUF1091
KAI8033708.1	7cc9520298bddadccd4195d4d8f0f5b2	374	Pfam	PF00462	Glutaredoxin	232	294	3.2E-12	T	16-11-2022	IPR002109	Glutaredoxin
KAI8034189.1	b74a808846b99cc55f909123038fb334	411	Pfam	PF01207	Dihydrouridine synthase (Dus)	43	282	4.4E-40	T	16-11-2022	IPR035587	DUS-like, FMN-binding domain
KAI8043338.1	b7a37ba4de40803b84cbd4a3cf0da19a	1048	Pfam	PF00225	Kinesin motor domain	19	363	4.1E-104	T	16-11-2022	IPR001752	Kinesin motor domain
KAI8044051.1	083c139c9be5939f72bd290e4f088e7b	289	Pfam	PF13847	Methyltransferase domain	62	182	7.3E-13	T	16-11-2022	IPR025714	Methyltransferase domain
KAI8040111.1	53cd99071cae5fd6433db690aec699c2	263	Pfam	PF00089	Trypsin	26	253	4.1E-53	T	16-11-2022	IPR001254	Serine proteases, trypsin domain
KAI8038739.1	64bf2c71488feaf11dfb0e4d93cb0637	277	Pfam	PF00085	Thioredoxin	134	236	7.6E-12	T	16-11-2022	IPR013766	Thioredoxin domain
KAI8034634.1	516f693c098692bb4601b6f18aa28257	260	Pfam	PF00876	Innexin	20	244	5.3E-64	T	16-11-2022	IPR000990	Innexin
KAI8037473.1	e4a13501484ec7e4fc525bb17e968254	340	Pfam	PF00112	Papain family cysteine protease	125	335	3.6E-36	T	16-11-2022	IPR000668	Peptidase C1A, papain C-terminal
KAI8037473.1	e4a13501484ec7e4fc525bb17e968254	340	Pfam	PF08246	Cathepsin propeptide inhibitor domain (I29)	28	83	1.3E-5	T	16-11-2022	IPR013201	Cathepsin propeptide inhibitor domain (I29)
KAI8040929.1	e58cd5aae083478cbb13ece8420c7764	406	Pfam	PF02244	Carboxypeptidase activation peptide	29	101	5.1E-15	T	16-11-2022	IPR003146	Carboxypeptidase, activation peptide
KAI8040929.1	e58cd5aae083478cbb13ece8420c7764	406	Pfam	PF00246	Zinc carboxypeptidase	121	390	1.0E-74	T	16-11-2022	IPR000834	Peptidase M14, carboxypeptidase A
